ID,Character,Gender,Turkish,MSA,Syrian_Arabic
752,Faysal,Male,Demek bizim damadın sağ kolundun sen ha?,إذن كنت تعمل لصالح ذراع العريس الأيمن، صح؟ ,لكن هادا الرجال باعو لصهري ما ؟
753,Arzu,Female,Osman nerede kaldın ya?  Merak ettim ne oldu?,أين كنت يا عثمان؟ قلقت عليك، ماذا حدث؟ ,أسومان ليش تأخرتي كتير قلقت شو صار ؟
754,Arzu,Female,Nasıl buldun umurumda bile değil ya anlatsana artık.,كيف وجدتِها لا يهمني، المهم أن تخبريني الآن.,لك بلا لف ودوران يلا احكيلي شو وضعا ؟
755,Arkut,Male,O raporun yerini söylemezsen seni  şuracıkta gebertirim kimsenin ruhu duymaz.  Duyuyor musun beni?  Duyuyor musun lan?,إذا لم تخبرني بموقع التقرير سأقتلك هنا ولن يشعر بك أحد.  هل تسمعني؟  هل تسمعني؟,إذا ما بتقلي وين التقرير قسما بالله بقتلك وبدفنك بهالمكان ، سمعت ولاك ؟
756,Arkut,Male,Sana ne lan sana ne,وما شأنك أنت، وما شأنك أنت؟ ,خراس ولاك ، ما دخلك
757,Ümit,Male,Senin de parmağın olduğu için mi?,هل لأنك كنت مشتركًا فيه؟ ,وانت ساعدت أرزو بالحريق؟
758,Arkut,Male,Ne diyorsun lan sen?  Ne diyorsun sen?  Ne saçmalıyorsun?,ماذا تقول، أنت؟  ما الذي تقوله؟  ما الذي تهذر به؟ ,شو عم تحكي ولاك ؟ ، آه ؟ انت شو عم تحكي؟ ، شو عم تخبص؟
759,Ümit,Male,Olacakları beraber ise yap.  Ne dersin?,انتهِ من ذلك وجلس.  ما رأيك؟ ,ومنشوف سوا شو رح يصير ، شو رايك ؟
760,Arkut,Male,Öldürün!  Gebertirim ulan seni!  Yemin ediyorum gebertirim!,أُقتل!  سأقتلك!  أقسم، سأقتلك! ,ولك ، بدك ياني اقتلك هلق ؟، قسما بالله بقتلك
761,Arkut,Male,Burada duracaksın.  Gebegeye de geleceğim seni geberteceğim.,سترى، سأعود وسأقتلك. ,استناني هون ، رح ارجع وخلص عليك بايدي
762,Faysal,Male,Lan!  Erkutun da parmağı olmasın bu işte.,لا تقل لي إن لإركوت دورًا في هذا.,لك ، ليكون إلو ايد بهالجريمة؟
763,Elif,Female,Doğru musun Sence?  Çok acıktım.,هل تعتقد أن هذا صحيح؟ لقد شعرت بالجوع الشديد. ,وطلع هالشي صحيح ، جوعانة كتير
764,Behriye,Female,Vallahi ben bu kadar hızlı dikebiliyorum.  Daha iyi dikebilen varsa biri gelsin.,بالله أنا أسرع خياطة أستطيعها. إذا كان هناك من يخيط أسرع، فليأت. ,والله مافيني اشتغل أسرع من هيك ، شو في داعي لحتى تعب حالي اكتر؟
765,Melek,Female,Elif de ne zamandır sağ olsun.,وألف أيضًا كانت دومًا تساعدنا.,أليف صرلا زمان بالمكتبة
766,Melek,Female,Rahatsız etmese bari adama.  Bunu okudun mu?,ليته لا يزعج الرجل. هل قرأته؟,ما كان لازم خليا تروح لهنيك
767,Yusuf,Male,İyi.  O zaman işin bitince okuyabilirsin.,جيد. إذًا يمكنك قراءته عندما تنتهي.,طيب ، فيكي تقريه إذا خلصتي شغل
768,Elif,Female,Neden öyle güldün Yusuf amca?  Çünkü çok doldu.,لماذا ضحكت هكذا يا عمي يوسف؟ لأنها مليئة جدًا.,عمي يوسف انت ليش عم تضحك؟
769,Melek,Female,Ben sesin öyle gelince meraklandın sandım.,عندما جاء صوتك هكذا ظننت أنك قلقانة. ,آه بس ، مبين من صوتك كأنك متدايقة من شي
770,Aliya,Female,boşalmaya karar vermişler.  Anne sen,لقد قرروا الطلاق. أمي أنت,حتى  قرروا انن يتطلقو كمان
771,Melek,Female,"Tamam anne, tamam.  Sen merak etme.",حسناً أمي، حسناً. لا تقلقي. ,طيب امي بترجاكي اهدي  ، لا تاكلي هم
772,Melek,Female,Ben seni ne buyururum şimdi?,سأخبرك بما سأفعله الآن؟ ,انا رح اتصل بزينب هلق
773,Murat,Male,Sana bir haller olmuş.  Ben anlarım.  Ne oldu?,لقد حدث لك شيء. أنا أفهم. ماذا حدث؟ ,انا بعرفك منيح ، قلي شو صاير؟
774,Murat,Male,Sen Erkut abiye gittin mi?  Ne yaptın o işi?,هل ذهبت إلى الأخ إركوت؟ ماذا فعلت بتلك العملة؟ ,بابا ، مو انت رحت لعند أرقوط مشان تساعدو ؟
775,Murat,Male,Ya baba sen onca parayı nereden buldun?,يا أبي، من أين حصلت على كل هذه الأموال؟ ,انت من وين جبت المصاري بهالسرعه ؟
776,Faysal,Male,Allah Allah lan.  Oğlum maliye müfettişi mi oldun lan başıma?,الله الله يا بني. هل أصبحت مفتشاً مالياً الآن؟ ,استغفر الله العظيم و لك ابني شو يعني ساويت فيا محقق عراسي ؟
777,Faysal,Male,Sana ne nereden bulduysan buldum hadi.,لا شأن لك من أين حصلت، دعنا نذهب. ,ما دخلك من وين جبت المصاري يلا
778,Arkut,Male,Ulan yoksa harbiden yemledin mi bu herifi?,هل فعلاً خدعت هذا الشخص؟ ,معقولة يكون اجى و عطاهن التقرير ؟
779,Emrah,Male,Sonra bir bakıyorsun ki her şey tersine dönmüş.,ثم تجد أن كل شيء قد تغير. ,بس فجأة منلاقي انو كلشي كذبة
780,Emrah,Male,dimdik ayakta durabilmeli.  Sen de güçlü bir kadınsın.,وأن يبقى واقفًا بشموخ. أنت أيضًا امرأة قوية. ,وجاهزين لكل الاحتمالات ، بالنهاية انتي مرا قوية
781,Pelin,Female,"Bir dakika, bir dakika.  Bir şey olmuş sana.",لحظة، لحظة. حصل لك شيء. ,دقيقة دقيقة أنت صاير معك شي ؟
782,Elif,Female,Bir daha uyuyakalasın uyandır beni olur mu?,في المرة القادمة عندما أنام، أيقظني، حسنًا؟ ,بس اذا نمت مرة تانية بتفيقني ماشي؟
783,Yusuf,Male,Söyle bakalım neden bu kadar çok çalışmak istiyorsun?,أخبرني، لماذا تريد العمل بهذه الجدية؟ ,شو يلي خلاكي تصري عالشغل لهالدرجة ؟
784,Yusuf,Male,Peki ilk haftalığında ne yapacaksın?,حسنًا، ماذا ستفعل خلال الأسبوع الأول؟ ,طيب ، شو رح تساوي براتبك الاول ؟
785,Yusuf,Male,Onları da yarın yaparsın artık.,يمكنكِ القيام بها غدًا إذًا. ,مو مشكلة بتكملي بكرا
786,Aliya,Female,Sen gittiğinden beri hiçbir şey eskisi gibi değil.,منذ أن ذهبت، لا شيء كما كان من قبل. ,من لما أنت رحت ، ماضل في اي شي متل ما كان
787,Gülay,Female,Bugün bir bitsin başka da bir şey istemiyorum.,لا أريد سوى أن ينتهي هذا اليوم لا أكثر. ,عم حس وكأنو مارح يخلص هاليوم
788,Şükriye,Female,Hay Allah kahretsin ya tam da zamanını buldum.,"يا إلهي، إنه فعلاً الوقت المناسب.
",لك يضرب هالحظ ، هاد يلي كان ناقصني هلق
789,Cevahir,Male,Kolay gelsin hanımlar.  Diyeceğim de,بالتوفيق سيداتي. ولكن,يعطيكن العافية ، متل ما عم شوف
790,Cevahir,Male,Buranın ustabaşısı sen değil misin?,ألست أنت المسؤولة في هذه الورشة؟,مو انتي رئيسة العمال هون ؟
791,Cevahir,Male,Eğer bu mallar yetişmezse senden bilirim ha.,إذا لم يتم الانتهاء من هذه السلع سأحمّلك المسؤولية.,أنا ، بحملك المسؤولة إذا ما خلصتوا الشغل
792,Melek,Female,"Ya Şükriye,  senin makineye de bakarız şimdi tamam mı?  Merak etme sen.",يا شوكريه، سننظر إلى الآلة الخاصة بك الآن، حسنًا؟ لا تقلقي.,طيب شكرية ، أأأأ لا تاكلي هم هلق بصلحلك الماكينة
793,Kemal,Male,Buna mı veriyorsun lan paraları?,هل تعطيه النقود؟!,اشتريت هالجاكيت بالمصاري ، آه ؟
794,Kemal,Male,Nerede paralar?  Bunlara mı harcıyorsun?,أين الأموال؟ هل تنفقها عليهم؟!,يلا احكي لشوف وين المصاري ؟
795,Kemal,Male,Özür diliyor.  Ulan anan senin gibi işe yaramaz  doğuracağına taş doğursan daha iyiydi.  Bıktım lan senden bıktım.,هو يعتذر. يا إلهي، لو كانت أمك ولدت حجراً لكان أفضل من ولادة واحدة عديمة النفع مثلك. سئمت منك!,قال سامحو ، ولك ، انت لايمت رح تضل فاشل وما تنفعني بأي شي انا مليت منك
796,Kemal,Male,Sen kimsin ne karışmışsın?  Yürü git!,من أنت؟ لماذا تتدخل؟ اذهب!,لا توجعلي راسي يلا انقلع
797,Yusuf,Male,Söyle korkma kim yaptı bunu sana?  O mu yaptı?,قُل لا تخف من فعل هذا لك؟ هو فعلها؟,لا تخاف قول مين يلي ضربك عأيدك ، هاد هو، آه ؟
798,Kemal,Male,Ne karışıyorsun lan benim işime?  Bırak oğlanı.,لمَ تتدخل في شؤوني؟ أترك الصبي.,أنت مين مفكر حالك ولاك ؟ ، تروك ابني
799,Kemal,Male,Babanın çiftliği mi sandın burayı?,هل ظننت هذا مزرعة والدك؟!,مين انت لتتدخل بعيلتي؟
800,Kemal,Male,"Ulan Hakkı, bittin lan sen bittin.",أيها اللعين حقي، انتهيت أيها اللعين، انتهيت.,ولك حقي ، رح خلص عليك يا حقير
801,Elif,Female,Rüso amca o makyayı kurtardı anne.  Biliyor musun?,العم روسو أنقذ مكياجها يا أمي. هل تعلمين؟!,عمي يوسف اجى و انقذ حقي ، وأنقذني
802,Zeynep,Female,Yok ben eve geldim de seni göremeyince,لا، لقد جئت إلى المنزل ولكن لم أرك,لاء مو صاير شي بس رجعت عالبيت وما لقيتك
803,Tülay,Female,Senin çıkış saatinde de zaman var diye.,لأن هناك وقت حتى موعد خروجك.,ليش راجعة على بكير ليكون صاير معك شي ؟
804,Yusuf,Male,Sen ne dersen Hakkıya yardım etmek için istemiş.,مهما قلت، أرادت ذلك لمساعدة حقّي.,حسب ما انا شفت ، هي بدا تشتغل مشان تساعد حقي
805,Arkut,Male,Arzuya karşı olan hırsın yüzünden bu haldesin Gonca.,بسبب طموحك ضد أرزو أنتِ في هذا الحال يا جنجة.,بسبب هالتقرير و غضبك من أرزو وصلتي لهالحالة
806,Melek,Female,Hakkıcığım ya sen bize geldiğinde gayet iyiydin.,يا حقّي، عندما جئت إلينا كنت بخير.,حقي ، كنت منيح لما اجيت لعنا
807,Yusuf,Male,"Hem birlikte kalırsın, bana arkadaş olursun.",وأيضاً ستبقى معي، وتكون لي صديقاً. ,صرنا رفقات منتسلى سوا شو رأيك ؟
808,Elif,Female,"Aa anne,  Hakkı daha hiçbir şey yememiş biliyor musun?  Aç.",آه أمي، هل تعلمين أن حقي لم يأكل شيئاً بعد؟ جائع.,آه أمي ، بتعرفي انو حقي كتير جوعان ما أكل
809,Elif,Female,"Annemin hasta çorbası çok güzel olur,  biliyor musun?",هل تعلمين؟ شوربة أمي للمريض لذيذة جداً.,أمي بتساوي شوربة طيبة للمرضانين ، صدقني
810,Aliya,Female,İşte sen böyle konuşunca belki hatalarını anlarlar.,ربما سيفهمون أخطاءهم عندما تتحدثين معهم هكذا. ,بلكي اذا قدرتي تجمعين ، يفهموا الغلط يلي ارتكبوه
811,Aliya,Female,Şimdi sen işi yetiştireceğim diye yemek de yememişsindir.,لن تأكلي حين تحاولين إنجاز عملك في الوقت المحدد، أليس كذلك؟ ,أكيد كان عندك كتير شغل و ما فضيتي تاكلي
812,Elif,Female,Hakkı iyi misin?  Nasıl oldun?,حقي هل أنت بخير؟ كيف حالك؟ ,انت منيح حقي؟ ، شلون صرت ؟
813,Melek,Female,Yukacığım canı nasıl hissediyorsun kendini?,عزيزي يوكَ، كيف تشعر؟ ,حقي ، انت شلون حاسس حالك هلق ؟
814,Arzu,Female,Ama sen hiç merak etme.  Ben sana o kadar iyi bakacağım ki aklın hemen başına gelecek.  O eski,لكن لا تقلقي. سأعتني بك جيداً حتى تعود لك ذاكرتك.  هذا القديم,بس ولا يهمك حبيبتي ، انا رح اهتم فيكي لترجعلك صحتك وكل ذاكرتك
815,Arzu,Female,Ben senin doktorunla konuşup geleyim canım olur mu?,سأتحدث مع طبيبك وأعود، حسنًا عزيزتي؟ ,طيب أنا رح احكي مع الدكتور وبجي تمام ؟
816,Nuray,Female,Goncanın yokluğunda işleri siz devralmışsınız.  Hayırlı olsun.,توليت الأعمال في غياب غونجا. مبروك.,انت استلمت الشغل بغياب غونجا خانم بالتوفيق
817,Nuray,Female,Kaza yeni duydum çok çok geçmiş olsun.  Sağol.,لقد سمعت عن الحادث مؤخرًا، أتمنى أن تكون بخير. آمين.,سمعت بالحادث وانشالله معافايه
818,Arzu,Female,Bak canım aslında sen benimle beraber yaşıyorsun.  Yani sen benim yardımcımsın.,انظر حبي، في الواقع أنت تعيش معي. يعني أنت مساعدتي.,حبيبتي انتي صرلك سنين عم تشتغلي عندي يعني ، بتساعديني بالبيت
819,Arzu,Female,Ben de seni öyle tabii.,وأنا كذلك بالطبع.,وأنا هيك كمان
820,Melek,Female,Şimdi bu şurup da senin hastalığındaki bütün mikroplarla savaşacak.  Al bakalım.  Al.,الآن هذا الشراب سيحارب جميع الجراثيم في مرضك. خذ. خذ.,وهلق هالدوا رح يحارب كل الجراثيم والميكروبات ، شراب
821,Hakkı,Male,Kesin kazınca yok ama değil mi?,لن يكون هناك أي ضرر، أليس كذلك؟,الدوا رح ينتصر مو هيك ؟
822,Behriye,Female,Kız yoksa bunun yabaniyle arasında bir şey olur musun hı?,يا ترى هل هناك شيء بينها وبين هذا الأجنبي؟,سمعي ، ليكون في شي بينا وبين هداك المتوحش؟
823,Arzu,Female,Sen burayı hep severdin zaten.,كنت دائماً تحبين هذا المكان.,انتي اساسا كتير بتحبي هالبيت
824,Arzu,Female,Asumayızcığım kız sığar değil ki niye bağırıyorsun?,عزيزتي أسومان الفتاة لم تخطئ فلماذا تصرخين؟,أسومان هي مانا طرشة ليش عم تصرخي هيك ؟
825,Arzu,Female,Eee Goncacığım sen şimdi benim yanımda çalışıyordun ya.,عزيزتي غونجا لقد كنت تعملين معي الآن.,آآآآ غونجا مو كنتي عم تشتغلي عندي ؟
826,Arzu,Female,Şimdi malum bu durumda seni çalıştırmam doğru olmaz.,ومن الواضح في هذه الحالة أنه ليس من الصحيح تشغيلك.,ها ، وبعد الحادث ، انتي ماعم تتذكري شي حبيبتي
827,Arzu,Female,"Goncacığım, bak Avukat Bey yanımda.  Şimdi senin",عزيزتي غونجا، انظري، المحامي بجانبي. الآن عليك,غونجا ، شوفي ، هاد حضرة المحامي
828,Arzu,Female,Canım bak buraya imzalayacaksın.  Hadi.,عزيزتي، انظري ستوقعين هنا، هيا.,حبيبتي ، لازم توقعي هون ، يلا
829,Arzu,Female,Şimdi sana çantanı getireyim.  Cüzdanında elbette bir banka kartı vardır.  Onun arkasında imzan olacak.,الآن سأحضر لك حقيبتك. من المؤكد أن لديك بطاقة بنكية في محفظتك. سيكون توقيعك على ظهرها.,انا رح قوم جيب شنتايتك ، في احتمال يكون توقيعك على وحدة من بطاقات البنك تبعتك
830,Arzu,Female,"Hadi canım bak, üçünü de imzalayacaksın.",هيا عزيزتي، انظري ستوقعين على الثلاثة.,يلا حبيبتي ، لازم توقعي التلاتة
831,Asuman,Female,Ya Erkut dur ne yapıyorsun ya?,يا إركوت، ما الذي تفعله؟,استنى ارقوط ما بيصير تفوت هيك
832,Arzu,Female,Ne oldu?  Arkacığım Gonca canımı yazdın mı?,ما الأمر؟ عزيزتي غونجا، هل وقعت عليه؟,شو صار ؟ ، ارقوط انت خايف على غونجا؟
833,Arkut,Male,Ne yaptığını sanıyorsun sen ya?,ماذا تظن أنك تفعل؟,شو مفكرة حالك عم تعملي ، اه ؟
834,Arzu,Female,Doğru söylüyorsun.  Ben kimim ki?,أنت محقة. من أكون؟,مظبوط يلي عم تقولو ، مين انا ؟
835,Arzu,Female,Ama sorun yok.  İstersen götürebilirsin.  Benim bir işim yok.,لكن لا توجد مشكلة. يمكنك أن تأخذها إذا أردت. ليس لدي عمل.,بس مو مشكلة ، اذا بدك فيك تاخدها
836,Arkut,Male,Sen nasıl Arzunun oyununa gelirsin Gonca ya?  Nasıl gelirsin ya?,كيف استطعت أن تنخدعي بألعاب أرزو يا غونجا؟ كيف؟,شلون خليتي ارزو تخدعك بهالبساطة ، كيف بتصدقيها ؟
837,Arkut,Male,Kızım  sen hiçbir şey hatırlamıyorsun değil mi?,يا ابنتي، أنت لا تتذكرين شيئاً، صحيح؟,كيف ؟ ، ليش مو انتي ما بتتذكري شي ؟
838,Arkut,Male,Sen aklını mı kaybettin hafızanı mı Gonca?  Al işte.,فقدت عقلك أم ذاكرتك يا غونجا؟ هذه هي حالك الآن.,بهالسرعة نسيتي انو انتي فقدتي ذاكرتك ؟
839,Arkut,Male,Her şeyini aldı elinden dımdızlak kaldın ortada.,أخذت منك كل شيء وتركتك عارية.,تفضلي ، هي قدرت تاخد منك كل شي بكل سهولة
840,Arkut,Male,Sen de üstte ne yazıyorsa altta da onlar vardır diye imzaladın.,وظننت أن ما كان مكتوبًا في الأعلى يوجد أيضًا في الأسفل، فوقعت.,فكرتي انو مكتوب فين نفس اللي بالورقة الاولى ووقعتي
841,Asuman,Female,Kadın çok akıllı var gerçekten.,المرأة بالفعل ذكية جداً.,ما حدا بيقدر ينكر انها ذكية
842,Kemal,Male,Gebertirim lan seni anladın mı?  Gebertirim!,سأقتلك، هل فهمت؟ سأقتلك!,قسما بالله بموتك وبخلص عليك
843,Yusuf,Male,Ya sen ne zaman kalktın?  Senin.,متى استيقظت؟ أنت.,شو في ليش قمت عن التخت ؟ ، اه ؟
844,Yusuf,Male,Bak senin yatman dinlenmen lazım.,انظر، يجب عليك أن تنام وترتاح.,انت لازم ترتناح لتتعافى منيح
845,Yusuf,Male,Hadi otur sen de dinlen bakayım.,تعال اجلس واسترح قليلاً.,يلا انت اقعود وارتاح لشوف
846,Murat,Male,İki dakika içerisinde bütün mahalleyi kadın programına çevirdin sen.,خلال دقيقتين حولتِ الحي كله إلى برنامج نسائي. ,وخلال دقيقة ساويتي برنامج تلفزيوني لستات البيوت
847,Murat,Male,Olma diye söylüyorum ben sana.,أقول لك لكي لا تفرطي. ,ما بدي ياكي تتعبي حالك عالفاضي
848,Ayla,Female,Belki ayaklarımı yerden kesersin.  Evet.,ربما تجعلني أطير، نعم.,بننبسط وبنغير جو شو رأيك ؟
849,Arkut,Male,"Gonca,  sen böyle masız sandalyesi olan çiçekçi gördün mü?",لا أدري.,غونجا ، شفتي من قبل بياع ورد عندو هيك مكتب
850,Faysal,Male,mazlasın ama bu da doğru yol değil ki.,لكنه ليس الطريق الصحيح.,دائما بتطلع من مصيبة بتوقع بالتانية
851,Faysal,Male,Ben seni nerede bulacağımı biliyorum.,أعرف أين أجدك.,بسيطة انا بعرف وين رح لاقيك
852,Faysal,Male,Bu çıkmazdan ancak sen kurtarabilirsin beni.,أنت الوحيد القادر على إنقاذي من هذا المأزق.,وانت الوحيد ، يلي بيقدر يخلصني من هي الورطة
853,Arzu,Female,Zaten hep seksizsin sen.  Ay daraldım.,أنت دائماً بلا جنس. لقد ضقت ذرعاً.,واساسا ما عندا ذوق ابدا
854,Melek,Female,Ben de uyuyayım da sen içeride görünmüyorsun.,سأرتاح لكنك غير مرئي بالداخل.,أنا منيحة بس أنت مو باينتك هيك
855,Cevahir,Male,"Bahri, dilin değil elin işlesin.  Hadi.",بهاري، دعِ لسانك يعمل لا يديك. هيا.,بهرية ، شغلي ايديكي ، مو لسانك ، يلا
856,Cevahir,Male,Seni o herifin etrafında çok görür oldum.,أراك كثيراً حول ذلك الرجل.,لا عاد تحومي ابدا حوالين بياع الكتب
857,Cevahir,Male,"Bak Melek Hanım, sen benim çalışanımsın.",انظري يا مدام ملاك، أنتِ موظفتي.,سمعي ملك خانم ، انتي بتشتغلي بورشة
858,Cevahir,Male,İşleri yarım bırakıp hiçbir yere gidemezsin.,لا يمكنك ترك أعمالك والذهاب لأي مكان.,طالما عم تشتغلي عندي ما بتروحي على مكان
859,Faysal,Male,Tamam ya tamam ne bağırıyorsun?,حسناً، حسناً، لماذا تصرخين؟,انا عم بسمعك ليش عم تصرخي ؟
860,Arkut,Male,Gonca ama falan yok ya.  Yeter çocuk gibi her şeyi sorguladın.,قونجا، لا يوجد لكن. توقفي عن التساؤل كالأطفال.,غونجا مشان الله حاج تتصرفي متل الولاد والله وجعتيلي راسي
861,Melek,Female,Sen bana niye ima etmeyi çalışıyorsun?,لماذا تحاول الإشارة لي؟,بهرية انتي على شو عم تلمحي يا ترى ؟
862,İsal,Female,"Ay pes artık ya, ya senin de çutandan yok mu?",يا ربي! ما عندك ذرة من الحشمة؟,خلص بيكفي بقا ، انتي ما بتخجلي بنوب
863,Behriye,Female,Niye gidiyorsun adamın dükkanına?  Kitap mı okuyorsunuz birlikte?,لماذا تروحين إلى محل الرجل؟ تقرأون الكتب سويًا؟,ليش بتضلي تروحي لعند بياع الكتب لتكوني عم تقري كتب ؟
864,Melek,Female,Ben sana açıklama yapmak zorunda falan değilim tamam mı?,لست مضطرة لشرح شيء لك، هل فهمتِ؟,مالي مجبورة اعطيكي اي تفسير فهمتي
865,İsal,Female,Çünkü sen buna ne kadar anlatsan anlamayacak.,لأن أبدًا ما تفهم مهما شرحت لها.,لانو قد ما حكيتي معها مارح تفهم ابدا
866,Faysal,Male,"Ama işin düşünce,  Veysel abi,  Veysel abi dersin değil mi?",لكن لما تحس بضيق، تقول فايزال أخي، أليس كذلك؟,بس لما توقع بمشكلة ، اخي فيصل ، اخي فيصل ساعدني
867,Faysal,Male,"E tabii, beni kuzu kuzu arayacaksın değil mi?",آه تولاي لي.,اي طبعا ، هو ما بيقدر يزعلني واتصل فيني
868,Faysal,Male,"Ama inanki hepsi senin için ya.  Yoksa ben sokakta kalmışım,  aç kalmışım,  açıkta kalmışım,  hiç umurumda değil ya.",لن أسمح لتولاي أن تصيبه هذه المعاناة.,بس عم ساوي كل شي مشانك ، ولا صدقيني انا ما بيهمني ابدا ، بنام بالشوارع والحدائق وما باكل شي
869,Faysal,Male,Vallahi bu sefaleti sana yaşatamam.,لماذا لا يجيب على هذا الهاتف؟,بس ما فيني خليكي تعيشي بهالذل
870,Emrah,Male,Ben bu çiçekleri senin için istedim.,لقد طلبت هذه الزهور لأجلك.,أنا طلبت هالورود ، مشانك انتي
871,Emrah,Male,Zeynep bir sakin ol yanlış anladın.,زينب، اهدئي لقد فهمت خطأ.,زينب طولي بالك فهمتيني غلط
872,Emrah,Male,"Zeynepciğim,  lütfen yakışmıyor sana böyle şeyler.",زينب، من فضلك، هذا لا يليق بك.,زينب ، لو سمحتي اهدي ولا تحكي هيك
873,Zeynep,Female,Ya sen hâlâ ne yakışmasından bahsediyorsun ya?  Ne yakışmasından?  Ben bu ucun,وما زلت تتحدث عن عدم من اللياقة؟ ما الذي لا يليق؟ أنا هنا أحاول كسب مال الخبز بعرق جبيني.,ولك ، انت ، مين مفكر حالك لاقعد واحكي معك ؟ ، مين مفكر حالك ؟
874,NURSE A 322,Female,Bir dakika girmeyin dedim size.  Çıkın lütfen dışarı.  Ya sen çekil sen.,كيف يكون هذا المكان؟,استنى ممنوع تفوت لجوا يلا طلاع لبرا
875,Arkut,Male,Tamam tamam sen çık sağ ol.,حسنًا، حسنًا، اذهبي شكرًا لك.,طيب ماشي فيكي تطلعي
876,Arkut,Male,Ne oluyor abi ya ne bu telaşın ne istiyorsun?  Paran.,ماذا يحدث يا أخي؟ ما هذا التوتر؟ ماذا تريد؟ نقودك.,شو القصة شو صاير معك شو بدك ؟
877,Arkut,Male,Sen işini yaptın karşılığını aldın.  Para falan yok sana.,لقد قمت بعملك واستلمت مقابل ذلك. لا يوجد نقود لك.,ساويت اللي طلبتو منك وعطيتك مصاري ، ما ألك عليي شي
878,Arkut,Male,Sen mevzuyu yanlış anladın herhalde.,يبدو أنك فهمت الموضوع بشكل خاطئ.,عالاغلب في سوء تفاهم بيني وبينك
879,Arkut,Male,Benim sana verecek kuruşum yok kuruşum.,لا يوجد لدي ولو قرش أعطيك إياه.,انا مو مديون ألك بالمصاري مفهوم ؟
880,Arkut,Male,Ben sana niye durduk yere para vereyim abi ya?  Ha?  Erkut.,لماذا أعطيك المال هكذا بدون سبب يا أخي؟ ها؟ إركوت.,وليش لحتى اعطيك مصاري من دون سبب ؟، اه ؟
881,Faysal,Male,Hani sen benim istediğimi verirsen,لو أعطيتني ما أريد,انت ، اذا عطيتني اللي بدي ياه
882,Arkut,Male,Ne saçmalıyorsun be abi?  Ne geveliyorsun ya?,ما الذي تهذي به يا أخي؟ ما الذي تتحدث عنه؟,شو عم تخبص ليش شو بتعرف عني لتسكت ؟
883,Faysal,Male,"Herkut,  diyorum ki sen beni memnun et,  ben de memnun olurum.",أقول أنك ترضيني، فأنا سأكون راضيًا.,ارقوط ، سماع ، اذا بتعطيني مصاري
884,Kemal,Male,Bakalım birazdan da böyle görebilecek misin?,لنرى إذا كنت تستطيع أن ترى هكذا بعد قليل.,هلأ بنشوف اذا رح تضل عم تضحك
885,Kemal,Male,Ne işin var lan senin burada?,ما الذي تفعله هنا؟,انت شو عم تساوي هون ؟
886,Kemal,Male,Ben görüyorum.  Görüyorum diyorum sana.,أرى. أقول لك، أرى.,امشي معي ، يلا تعال لشوف
887,Yusuf,Male,Ne yaptığını farkında değil misin ha?,ألست مدركًا لما تفعله، هاه؟,انت منتبه شو اللي عم تساوي للولد ؟
888,Faysal,Male,Ne diyorsun Erkut?  Şimdi hak ettin mi parayı?,ماذا تقول يا إركوت؟ هل استحقيت المال الآن؟,شو رأيك هلأ ، بستاهل المصاري ولا لا ؟
889,Faysal,Male,Bildiğim gerçekleri anlatmamı istemiyorsan  elini biraz cebine atacaksın değil mi?  Yani başka çaresi yok.,إذا كنت لا تريد أن أفصح عن الحقائق التي أعرفها، فهناك شيء من مالك يجب أن تقدمه، أليس كذلك؟ يعني لا يوجد بديل آخر.,لو وضعي مالو سيء ما كنت اجيت لعندك ، وطلبت مصاري ، لهيك لازم تساعدني ما عندك حل تاني
890,Arkut,Male,Başka çaresi yok diyorsun ha?,لا يوجد بديل آخر، تقول هاه؟,لكن هاد الحل الوحيد
891,Arkut,Male,Abi abi ya.  Abi sen çok paslanmışsın.  Bu işleri unutmuşsun.,أخي، يا أخي. لقد صدئت كثيرًا، يبدو أنك نسيت هذه الأمور.,عنجد ضحكتني ، الظاهر ختيرت وخرفت ونسيت كيف نحنا بنشتغل
892,Arkut,Male,"Cık, yakıştı mı sana abi ya?  Çok amatörsün.",هل يناسبك هذا؟ أنت هاوٍ جدا.,والله ما توقعتك بهالغباء ، كنت غلطان
893,Arkut,Male,Sana da üzüldüm şimdi bebeysel abi.,أشعر بالأسف لك الآن، أخي الطفل.,يا ترى انت في عندك شي دليل تاني ، اه ؟
894,Kemal,Male,Ya oğlumu bana verirsin ya da kızı.,إما تعطيني ابني أو البنت.,يا بتعطيني ابني هلأ ، يا البنت
895,Yusuf,Male,"Oğlum senden korkuyor, farkında mısın ha?",هل تدرك أن ابنك خائف منك، هاه؟,بس ما انتبهت انو ابنك خايف منك
896,Yusuf,Male,Hiç başını öne alıp düşündün mü bunu ha?  Hiç düşündün mü?,هل جلست وفكرت في ذلك؟ هل فكرت؟,ما بدك الولد يعيش حياتو ، ما بدك سعادتو
897,Yusuf,Male,Bana inan! Her şeyi konuşarak halinde bir şey yapamayacaksın!,صدقني! بالتحدث لن تتمكن من فعل أي شيء!,وثاق فيني ، بنقدر نوصل لحل بالتفاهم
898,Yusuf,Male,Sana bu çocukların etrafında dolaşmayacaksın demedim mi lan ben sana?,ألم أقل لك أن لا تتجول حول هؤلاء الأطفال؟,ولك وسخ ما قلتلك بعد عن الولد وتركو بحالو
